date,value,gold_change
2018-09-08,1198.9,0.0
2018-09-09,1198.9,0.0
2018-09-10,1196.6,-0.1918425223121356
2018-09-11,1189.85,-0.564098278455627
2018-09-12,1195.6,0.4832541917048294
2018-09-13,1209.8,1.1876881900301228
2018-09-14,1201.95,-0.6488675814184108
2018-09-15,1201.95,0.0
2018-09-16,1201.95,0.0
2018-09-17,1201.9,-0.004159906818079762
2018-09-18,1200.2,-0.14144271570014633
2018-09-19,1203.3,0.2582902849525004
2018-09-20,1208.35,0.4196792154907314
2018-09-21,1198.7,-0.7986096743493043
2018-09-22,1198.7,0.0
2018-09-23,1198.7,0.0
2018-09-24,1202.75,0.33786602152330314
2018-09-25,1201.9,-0.07067137809186885
2018-09-26,1194.25,-0.6364922206506418
2018-09-27,1185.4,-0.7410508687460626
2018-09-28,1187.25,0.1560654631348024
2018-09-29,1187.25,0.0
2018-09-30,1187.25,0.0
2018-10-01,1189.35,0.17687934301957586
2018-10-02,1204.7,1.2906209273973346
2018-10-03,1201.2,-0.29052876234747504
2018-10-04,1203.45,0.18731268731269068
2018-10-05,1203.8,0.029083052889600225
2018-10-06,1203.8,0.0
2018-10-07,1203.8,0.0
2018-10-08,1186.95,-1.3997341751121328
2018-10-09,1185.55,-0.1179493660221631
2018-10-10,1188.6,0.2572645607523905
2018-10-11,1205.55,1.4260474507824306
2018-10-12,1219.75,1.177885612376106
2018-10-13,1219.75,0.0
2018-10-14,1219.75,0.0
2018-10-15,1229.95,0.836236933797907
2018-10-16,1230.7,0.06097808854017561
2018-10-17,1229.05,-0.1340700414398377
2018-10-18,1223.0,-0.4922501118750256
2018-10-19,1227.85,0.3965658217497836
2018-10-20,1227.85,0.0
2018-10-21,1227.85,0.0
2018-10-22,1222.3,-0.4520096102944127
2018-10-23,1235.95,1.11674711609262
2018-10-24,1230.55,-0.436910878271779
2018-10-25,1230.8,0.02031611880866091
2018-10-26,1233.85,0.24780630484237956
2018-10-27,1233.85,0.0
2018-10-28,1233.85,0.0
2018-10-29,1230.8,-0.24719374316164444
2018-10-30,1225.4,-0.43873903152420457
2018-10-31,1214.95,-0.8527827648114883
2018-11-01,1231.15,1.3333882052759316
2018-11-02,1232.1,0.07716362750271878
2018-11-03,1232.1,0.0
2018-11-04,1232.1,0.0
2018-11-05,1232.25,0.0121743364986715
2018-11-06,1231.6,-0.05274903631569128
2018-11-07,1229.95,-0.1339720688535162
2018-11-08,1224.15,-0.4715638847107573
2018-11-09,1211.4,-1.0415390270800184
2018-11-10,1211.4,0.0
2018-11-11,1211.4,0.0
2018-11-12,1205.55,-0.48291233283804796
2018-11-13,1202.1,-0.2861764339927908
2018-11-14,1203.25,0.09566591797687264
2018-11-15,1211.85,0.7147309370455046
2018-11-16,1222.4,0.8705697899905163
2018-11-17,1222.4,0.0
2018-11-18,1222.4,0.0
2018-11-19,1221.6,-0.06544502617802372
2018-11-20,1223.0,0.11460379829733025
2018-11-21,1226.1,0.253475061324604
2018-11-22,1227.05,0.07748144523285205
2018-11-23,1223.65,-0.2770873232549542
2018-11-24,1223.65,0.0
2018-11-25,1223.65,0.0
2018-11-26,1223.4,-0.02043067870715065
2018-11-27,1221.2,-0.17982671244074488
2018-11-28,1213.25,-0.6509990173599767
2018-11-29,1226.25,1.0715021636101385
2018-11-30,1217.55,-0.7094801223241576
2018-12-01,1217.55,0.0
2018-12-02,1217.55,0.0
2018-12-03,1230.3,1.0471849205371475
2018-12-04,1240.3,0.8128098837681952
2018-12-05,1235.9,-0.3547528823671597
2018-12-06,1242.55,0.5380694230924687
2018-12-07,1243.3,0.060359744074678374
2018-12-08,1243.3,0.0
2018-12-09,1243.3,0.0
2018-12-10,1245.35,0.16488377704495516
2018-12-11,1245.3,-0.00401493556028143
2018-12-12,1245.75,0.036135870874498544
2018-12-13,1242.75,-0.2408187838651377
2018-12-14,1235.35,-0.595453631060161
2018-12-15,1235.35,0.0
2018-12-16,1235.35,0.0
2018-12-17,1241.65,0.5099769296150969
2018-12-18,1246.3,0.37450167116335203
2018-12-19,1255.0,0.6980662761774781
2018-12-20,1259.75,0.3784860557768832
2018-12-21,1258.15,-0.1270093272474626
2018-12-22,1258.15,0.0
2018-12-23,1258.15,0.0
2018-12-24,1258.15,0.0
2018-12-25,1258.15,0.0
2018-12-26,1258.15,0.0
2018-12-27,1268.0,0.7828955212017652
2018-12-28,1279.0,0.8675078864353258
2018-12-29,1279.0,0.0
2018-12-30,1279.0,0.0
2018-12-31,1279.0,0.0
2019-01-01,1279.0,0.0
2019-01-02,1282.9,0.3049257232212721
2019-01-03,1290.45,0.5885104061111424
2019-01-04,1279.9,-0.8175442675035782
2019-01-05,1279.9,0.0
2019-01-06,1279.9,0.0
2019-01-07,1292.2,0.9610125791077452
2019-01-08,1286.45,-0.4449775576536141
2019-01-09,1288.6,0.1671265886742379
2019-01-10,1291.9,0.2560918826633785
2019-01-11,1288.95,-0.2283458472017941
2019-01-12,1288.95,0.0
2019-01-13,1288.95,0.0
2019-01-14,1292.75,0.29481360797547485
2019-01-15,1294.4,0.12763488686908794
2019-01-16,1292.3,-0.16223733003709606
2019-01-17,1290.7,-0.12381026077535885
2019-01-18,1284.2,-0.5036026962113582
2019-01-19,1284.2,0.0
2019-01-20,1284.2,0.0
2019-01-21,1279.55,-0.3620931319109233
