date,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-10-06,748,2,20,144,102,41.85111319502299,-87.66942457695131
2017-10-07,711,1,9,133,129,41.849015941423346,-87.6690370587415
2017-10-08,717,2,11,139,136,41.84114686066574,-87.66889390282574
2017-10-09,746,1,16,147,124,41.84236746756368,-87.66594614870327
2017-10-10,702,0,28,106,112,41.8473508483677,-87.66819053567889
2017-10-11,614,1,10,111,92,41.8372351520743,-87.66455466529047
2017-10-12,764,2,18,148,88,41.853504979741494,-87.67267629987799
2017-10-13,768,0,17,138,113,41.846449249072535,-87.6716727537427
2017-10-14,646,1,10,119,112,41.84503125407257,-87.66925534404568
2017-10-15,639,0,7,105,125,41.84477320009049,-87.66888952937137
2017-10-16,761,0,24,115,106,41.84709417435784,-87.66839287014683
2017-10-17,715,1,31,117,105,41.84919949399854,-87.66784716452067
2017-10-18,771,5,17,138,96,41.8488418437676,-87.67013053248172
2017-10-19,772,0,21,140,109,41.84667631257163,-87.66565621327595
2017-10-20,848,2,24,154,124,41.84836023062208,-87.67060602896505
2017-10-21,813,1,17,131,138,41.84827246973782,-87.66955432166625
2017-10-22,737,0,10,152,130,41.84999540654535,-87.67058707212358
2017-10-23,738,3,32,128,107,41.84512707728493,-87.66852082666111
2017-10-24,687,0,21,128,93,41.84194525034708,-87.6703676763132
2017-10-25,714,2,18,125,95,41.84481145727757,-87.66800259806114
2017-10-26,753,2,27,148,105,41.84113910205174,-87.66614020088569
2017-10-27,817,1,22,128,89,41.84390944011752,-87.6680245204369
2017-10-28,716,0,19,137,99,41.853086006112854,-87.67280676447676
2017-10-29,696,1,10,129,126,41.84430612665546,-87.66894443001448
2017-10-30,708,1,16,128,88,41.84668836868101,-87.6699504212318
2017-10-31,756,0,28,119,114,41.84209719099592,-87.67037834610814
2017-11-01,816,0,57,134,131,41.844011313287936,-87.67035814211454
2017-11-02,722,0,12,139,104,41.84614646272927,-87.66703860046013
2017-11-03,788,2,19,138,99,41.84872563041566,-87.6686432010541
2017-11-04,754,0,11,135,112,41.83967582437151,-87.66739471128936
2017-11-05,773,0,10,156,137,41.85117739069726,-87.66726570270781
2017-11-06,717,0,17,148,94,41.84811091385351,-87.66876939527599
2017-11-07,677,0,18,126,98,41.846819815258655,-87.6703719483519
2017-11-08,756,0,16,132,98,41.8440144788253,-87.66795701952948
2017-11-09,654,0,17,146,90,41.842103322347896,-87.66634501852405
2017-11-10,679,0,20,127,93,41.845236950070756,-87.66770656712801
2017-11-11,688,0,15,137,109,41.84484057641063,-87.66685913219506
2017-11-12,665,0,7,120,136,41.84811165681693,-87.66916738474596
2017-11-13,718,0,28,119,110,41.848628761137206,-87.67053777077513
2017-11-14,696,0,18,119,106,41.846084996775495,-87.67056042509036
2017-11-15,707,0,29,121,93,41.84592980690945,-87.66999592192549
2017-11-16,762,0,18,164,105,41.85301122696601,-87.67293370570749
2017-11-17,738,0,26,147,96,41.84513742846504,-87.66726147140085
2017-11-18,696,0,14,118,122,41.84844298495488,-87.66761539961435
2017-11-19,689,1,11,139,135,41.847107450924064,-87.67105198623649
2017-11-20,760,2,24,134,110,41.850848817016185,-87.66954618547966
2017-11-21,672,0,12,131,97,41.84057782184219,-87.66751966610933
2017-11-22,652,1,22,129,85,41.849637663730846,-87.67100108596874
2017-11-23,543,1,10,76,131,41.84172836281014,-87.66979725477812
2017-11-24,683,0,14,123,107,41.85014705775564,-87.67177352663488
2017-11-25,713,0,8,138,121,41.83864166967279,-87.66807866334982
2017-11-26,661,1,9,149,107,41.84401673890258,-87.6707288835587
2017-11-27,772,0,24,125,116,41.84837102667416,-87.67321221286397
2017-11-28,783,2,20,170,108,41.845321896456106,-87.67646786042586
2017-11-29,771,0,22,127,101,41.84590201783888,-87.66837912794058
2017-11-30,749,0,20,139,92,41.846227559447506,-87.67197644216292
2017-12-01,902,1,61,171,131,41.846011850844995,-87.6700492699975
2017-12-02,757,1,11,172,126,41.849029114246285,-87.67062354443061
2017-12-03,672,0,14,103,133,41.8427597122481,-87.67254992391076
2017-12-04,809,2,32,156,120,41.84675036207499,-87.67060019005959
2017-12-05,709,1,29,138,95,41.843228695332286,-87.6688747084111
2017-12-06,710,0,20,121,92,41.84716153120057,-87.67100253766229
2017-12-07,625,0,23,103,89,41.84713327439541,-87.67179829099516
2017-12-08,735,2,18,141,106,41.849185896768454,-87.66993671026911
2017-12-09,659,1,14,126,116,41.84372451550155,-87.66809361118897
2017-12-10,664,0,9,127,123,41.8472477409216,-87.67076779498319
2017-12-11,737,1,18,129,104,41.84059241164145,-87.66562596849859
2017-12-12,683,1,29,116,109,41.84584605519453,-87.67209828107889
2017-12-13,700,0,19,133,85,41.84900409918113,-87.67240327482617
2017-12-14,717,1,25,126,92,41.846648048265145,-87.66530047504754
2017-12-15,765,2,28,126,114,41.84839974923298,-87.67109129919216
2017-12-16,771,0,12,158,119,41.84008366242799,-87.6634860976987
2017-12-17,727,1,19,132,125,41.84587134645954,-87.67206164677799
2017-12-18,725,0,18,127,100,41.84816536420965,-87.67036929945894
2017-12-19,764,1,24,123,112,41.84331500960891,-87.66480947958999
2017-12-20,701,0,20,131,94,41.842386416055206,-87.66604006359701
2017-12-21,747,0,28,131,96,41.85219671599442,-87.67202954878441
2017-12-22,783,1,30,132,96,41.84680999924543,-87.66841226227815
2017-12-23,712,0,12,118,122,41.84209612288346,-87.66829753330359
2017-12-24,502,0,9,81,101,41.840205522998,-87.66649384030437
2017-12-25,394,0,7,52,116,41.846545597454046,-87.67021053799994
2017-12-26,524,1,17,96,96,41.83874343800586,-87.67202318170666
2017-12-27,522,0,19,100,96,41.846752608300186,-87.67245625706751
2017-12-28,601,0,26,115,88,41.84806286905261,-87.66916498008081
2017-12-29,574,3,15,108,94,41.84950668343168,-87.6682046168875
2017-12-30,620,1,16,96,111,41.846441354664435,-87.6670098923592
2017-12-31,542,0,2,114,115,41.843495649588206,-87.66932953674764
2018-01-01,872,1,59,144,210,41.84476538504704,-87.67034658402409
2018-01-02,558,2,25,121,85,41.84361398404369,-87.66973075381273
2018-01-03,572,0,20,108,70,41.84625251362273,-87.67035634836117
2018-01-04,601,1,13,111,98,41.84601182489597,-87.67206510812584
2018-01-05,661,1,12,106,106,41.851327720925774,-87.67231744934246
2018-01-06,585,0,11,114,120,41.8507832797688,-87.67387087807361
2018-01-07,533,0,5,96,130,41.84576674289054,-87.6751346782716
2018-01-08,618,0,17,143,91,41.84538136882011,-87.6737838441864
2018-01-09,652,1,19,156,94,41.847025833854715,-87.6699833318253
2018-01-10,714,0,27,162,113,41.84479093627758,-87.6742717958797
2018-01-11,699,0,10,135,89,41.85073946222922,-87.67561712936529
2018-01-12,706,0,15,134,104,41.84670944078524,-87.67520149672687
2018-01-13,617,2,14,122,104,41.844276232092845,-87.6684023801954
2018-01-14,563,1,10,121,124,41.837076021251825,-87.66665373346784
2018-01-15,529,0,16,110,91,41.8458771023977,-87.67271166863483
2018-01-16,613,0,21,120,91,41.84472248571475,-87.67232034137152
2018-01-17,646,0,20,133,106,41.84364225894702,-87.67085955761526
2018-01-18,624,1,27,131,82,41.847558506108406,-87.67174873703074
2018-01-19,707,1,20,172,82,41.84729068939262,-87.66733337885367
2018-01-20,725,1,7,172,123,41.84497117452907,-87.668607200838
2018-01-21,717,0,12,156,124,41.8481057169818,-87.6683946422605
2018-01-22,724,0,22,145,109,41.847756433613895,-87.67268620606113
2018-01-23,717,0,22,145,102,41.84560347862271,-87.67022670091438
2018-01-24,612,0,21,137,86,41.845553449869854,-87.67148207089477
2018-01-25,640,2,11,112,87,41.837686782102,-87.66935463226541
2018-01-26,761,1,12,170,120,41.84832708613647,-87.67094609682249
2018-01-27,754,1,9,181,123,41.85072103083912,-87.67038361777657
2018-01-28,669,1,10,146,134,41.84659964290347,-87.67331362351129
2018-01-29,652,1,26,126,89,41.85138114165487,-87.66316239902159
2018-01-30,634,0,18,134,76,41.84520460407767,-87.66625336521227
2018-01-31,708,0,22,143,96,41.841870926279185,-87.67065071495013
2018-02-01,720,0,52,121,108,41.836792282550824,-87.66893975734051
2018-02-02,672,2,33,144,102,41.850041493953405,-87.67225181107668
2018-02-03,627,1,19,155,101,41.841201158724786,-87.66830958294878
2018-02-04,511,0,12,108,110,41.84856459893504,-87.67326205368305
2018-02-05,539,0,21,102,82,41.84554208126965,-87.66799901596809
2018-02-06,588,0,18,148,92,41.84536106921842,-87.66983291737881
2018-02-07,541,1,23,129,88,41.84180944519814,-87.67039995881491
2018-02-08,556,2,12,137,95,41.846989760279776,-87.67396974696574
2018-02-09,505,0,19,123,95,41.849872789497006,-87.67228127075046
2018-02-10,533,0,13,118,99,41.850145358331474,-87.67267317344576
2018-02-11,537,0,12,132,104,41.848617862947606,-87.66914787602622
2018-02-12,571,0,17,139,84,41.84084266749207,-87.66887430946748
2018-02-13,641,0,21,139,103,41.84731667918209,-87.67406320845694
2018-02-14,660,0,25,167,113,41.84197397371994,-87.66912081372301
2018-02-15,699,1,27,179,125,41.844189414613034,-87.6713351128567
2018-02-16,662,0,18,121,94,41.84345718415196,-87.67154265914287
2018-02-17,603,0,11,101,111,41.849849650760866,-87.67315946036464
2018-02-18,586,0,7,125,116,41.8439909883804,-87.67236180024956
2018-02-19,624,0,19,128,108,41.841160319625374,-87.66728183741962
2018-02-20,641,0,18,127,98,41.84373950333709,-87.67128009437185
2018-02-21,636,1,18,146,91,41.84686973434656,-87.66976745711078
2018-02-22,678,0,14,158,115,41.84250573384124,-87.67092940779972
2018-02-23,669,0,15,169,95,41.84139427705568,-87.66815558239705
2018-02-24,681,1,8,159,130,41.848238881288026,-87.67271097384192
2018-02-25,655,0,12,133,135,41.851854364021406,-87.67226944348539
2018-02-26,625,0,16,153,88,41.83862549096768,-87.66762011003546
2018-02-27,690,0,26,159,99,41.84576665898246,-87.67101528221718
2018-02-28,646,0,21,154,101,41.84507453036177,-87.66747273173608
2018-03-01,814,0,67,145,142,41.849122025397975,-87.67500963739046
2018-03-02,692,0,23,178,104,41.837524660724675,-87.6697357622521
2018-03-03,664,0,13,157,132,41.84856803754932,-87.67473831136265
2018-03-04,648,0,11,147,128,41.84995223933593,-87.67476098947681
2018-03-05,663,1,22,153,111,41.840651790735286,-87.67237382079722
2018-03-06,651,0,21,142,108,41.84740646049148,-87.67299596274253
2018-03-07,654,1,18,153,90,41.846470987902734,-87.67287794597239
2018-03-08,659,0,26,133,96,41.84627358779419,-87.6745390199573
2018-03-09,743,0,22,164,101,41.846456263247276,-87.66982042087366
2018-03-10,682,0,12,159,136,41.84456489246471,-87.6689237097176
2018-03-11,617,0,7,142,144,41.84094364827968,-87.67311327580174
2018-03-12,661,1,27,132,100,41.84291177861621,-87.6712140703211
2018-03-13,638,2,16,127,102,41.84259460575392,-87.66912712317502
2018-03-14,664,0,14,164,104,41.842894818767356,-87.67408921763744
2018-03-15,690,1,27,135,108,41.84280178308188,-87.6716669387017
2018-03-16,702,1,15,146,108,41.84428838436263,-87.66860478760437
2018-03-17,775,0,16,171,142,41.84928785350838,-87.67162306678537
2018-03-18,686,0,14,134,150,41.845235108782724,-87.66945571886927
2018-03-19,657,1,25,128,93,41.84686734948543,-87.67128014367235
2018-03-20,711,0,29,147,122,41.84510082799716,-87.67393409649569
2018-03-21,687,0,24,157,114,41.83992271602776,-87.67442608334689
2018-03-22,669,0,23,128,79,41.84125342149625,-87.66727060602871
2018-03-23,752,0,16,168,98,41.84036335665822,-87.66801001289053
2018-03-24,648,0,6,133,121,41.84877062149534,-87.67116132939479
2018-03-25,676,0,9,172,132,41.84198920320658,-87.67110283006252
2018-03-26,695,0,32,141,118,41.840633763582176,-87.67111563936744
2018-03-27,673,1,15,140,116,41.84026943826765,-87.6742489542675
2018-03-28,687,0,22,150,113,41.844884718134686,-87.67379097341595
2018-03-29,628,0,19,135,99,41.85232387665813,-87.67512448898881
2018-03-30,704,1,19,157,109,41.844545622911184,-87.66964819819492
2018-03-31,691,1,7,151,123,41.839517885452,-87.66750460479211
2018-04-01,714,1,47,118,159,41.84107002158787,-87.67220096129324
2018-04-02,673,3,16,131,108,41.83884494900897,-87.67398864480175
2018-04-03,604,1,24,136,99,41.8425016433472,-87.6700387812805
2018-04-04,697,1,22,140,96,41.84560056197829,-87.67264426648342
2018-04-05,669,0,17,145,107,41.8441157269354,-87.66964774204502
2018-04-06,695,1,18,157,111,41.84169634886647,-87.66831144134251
2018-04-07,636,3,13,150,126,41.841548134062855,-87.66779907843555
2018-04-08,616,1,15,127,127,41.84295922068404,-87.66830723130451
2018-04-09,660,2,25,134,100,41.83798055370685,-87.66907553149154
2018-04-10,712,0,17,156,101,41.84547232519915,-87.67026171687141
2018-04-11,766,0,11,136,114,41.839823433731105,-87.66523916315133
2018-04-12,749,0,20,138,135,41.844775066353996,-87.67034712745883
2018-04-13,781,0,19,149,133,41.840498634471054,-87.67059108462301
2018-04-14,688,0,15,130,116,41.85050050930587,-87.66967228257944
2018-04-15,599,0,15,96,108,41.847970213067256,-87.6681517961814
2018-04-16,731,1,20,113,108,41.844192833649785,-87.66903583614834
2018-04-17,699,0,19,141,107,41.839188398149616,-87.66483386503744
2018-04-18,625,2,22,118,93,41.848436430137134,-87.66995946573381
2018-04-19,722,0,17,165,98,41.84343043914578,-87.66896811733206
2018-04-20,797,1,15,177,119,41.847698943659466,-87.67146717083223
2018-04-21,677,0,13,158,120,41.847687218753364,-87.6736122929807
2018-04-22,697,0,8,144,136,41.84610650543709,-87.66979541992052
2018-04-23,715,0,10,130,119,41.84866315211285,-87.67036837482506
2018-04-24,714,0,17,144,120,41.84268601489424,-87.66919420847111
2018-04-25,750,1,16,174,109,41.842169468067006,-87.67337465859518
2018-04-26,730,0,23,131,110,41.840127267943615,-87.66693232660526
2018-04-27,772,3,15,177,116,41.83928966465105,-87.66928044804432
2018-04-28,678,2,14,128,121,41.83883385028191,-87.6681580446128
2018-04-29,725,0,6,161,150,41.843007428586674,-87.67085272493479
2018-04-30,789,1,28,151,132,41.84033321240668,-87.66668215569312
2018-05-01,988,0,64,163,155,41.83895233790175,-87.66477019307513
2018-05-02,787,0,28,172,125,41.84108335923785,-87.66909935080567
2018-05-03,739,0,18,144,133,41.83980280459462,-87.67040073641094
2018-05-04,813,0,17,194,131,41.839216889918134,-87.66942381291443
2018-05-05,851,0,16,173,164,41.84167246329928,-87.6721878590998
2018-05-06,711,0,7,141,164,41.84699772784092,-87.6689024904318
2018-05-07,802,0,12,153,122,41.838685684166094,-87.66931656481133
2018-05-08,803,0,22,180,128,41.83860152419466,-87.67184141916573
2018-05-09,788,0,11,167,121,41.83524127094111,-87.66936131079251
2018-05-10,777,3,19,154,118,41.843307279953535,-87.67145994236387
2018-05-11,729,0,14,152,101,41.84751024202638,-87.6711954369124
2018-05-12,697,1,10,141,142,41.844862717830964,-87.67025185279779
2018-05-13,689,0,2,124,164,41.84376292226639,-87.67379281897387
2018-05-14,788,0,22,134,140,41.84259769500128,-87.66788068388783
2018-05-15,743,0,19,119,124,41.84074127237142,-87.66698974428304
2018-05-16,760,0,12,141,120,41.84125593318544,-87.66705640501854
2018-05-17,793,0,13,148,134,41.844362383306716,-87.67190399165393
2018-05-18,797,0,26,167,119,41.84423406569885,-87.67054645456804
2018-05-19,758,1,5,161,135,41.844568741013305,-87.67292440109587
2018-05-20,761,0,6,147,154,41.842523431229075,-87.67260883303456
2018-05-21,713,1,17,141,103,41.83725628909488,-87.6720958053201
2018-05-22,796,1,12,157,144,41.84235354224018,-87.67009738874088
2018-05-23,779,1,13,150,109,41.84550055770081,-87.67182938750639
2018-05-24,818,2,20,170,113,41.83891137322939,-87.66918161326755
2018-05-25,802,0,21,152,140,41.8426644948204,-87.66699213864705
2018-05-26,853,0,12,180,175,41.836627768489976,-87.66785935678524
2018-05-27,882,1,10,231,199,41.84167342300571,-87.66845228463151
2018-05-28,888,2,7,206,185,41.840742774414956,-87.67006292698072
2018-05-29,874,3,21,151,154,41.84288895864368,-87.66856967040705
2018-05-30,846,2,17,174,129,41.8450739935262,-87.66812192714409
2018-05-31,841,1,14,165,132,41.842620956008375,-87.66640511963405
2018-06-01,983,2,50,172,167,41.83496772556131,-87.66812106447605
2018-06-02,819,0,25,168,147,41.843532774464265,-87.67048411211083
2018-06-03,835,0,5,173,160,41.841539075971,-87.66856907864506
2018-06-04,790,1,20,141,122,41.841746340104756,-87.66928989242528
2018-06-05,751,0,25,129,104,41.84514745057105,-87.66889471947327
2018-06-06,813,0,23,152,133,41.84277899983083,-87.67059758502728
2018-06-07,765,0,16,147,129,41.83590458718975,-87.66453816927796
2018-06-08,774,0,20,161,122,41.84106305491997,-87.6707856929752
2018-06-09,815,0,11,159,132,41.84699332965469,-87.6694003696373
2018-06-10,730,0,7,123,142,41.84448690109834,-87.66974527392523
2018-06-11,746,0,22,135,119,41.84001631847845,-87.66873227653231
2018-06-12,792,0,20,139,126,41.8395625064694,-87.66705364211731
2018-06-13,750,1,14,140,120,41.83870198665095,-87.66794605980192
2018-06-14,754,0,10,169,105,41.846568868652334,-87.67229668648321
2018-06-15,839,2,27,172,136,41.842965291904896,-87.66911498773253
2018-06-16,823,0,8,152,157,41.847279627306406,-87.67140847763483
2018-06-17,828,2,7,161,212,41.84071567098416,-87.66722023442532
2018-06-18,842,1,13,153,168,41.8354892599796,-87.66513739336537
2018-06-19,792,1,17,145,145,41.84597685829678,-87.67172528569935
2018-06-20,888,1,25,173,142,41.83977525318881,-87.66293780909437
2018-06-21,666,3,24,105,103,41.83978858023408,-87.66487912974462
2018-06-22,723,0,11,155,116,41.84105850434028,-87.66563339171383
2018-06-23,837,3,9,159,125,41.85034744107482,-87.67050798088785
2018-06-24,868,0,10,157,165,41.84302696911558,-87.6684865316092
2018-06-25,855,0,18,151,142,41.84281347314441,-87.67120438940486
2018-06-26,794,1,15,130,124,41.844897938410334,-87.66869223778416
2018-06-27,823,0,13,154,123,41.8431611090777,-87.67063816573358
2018-06-28,820,0,22,151,137,41.84076957830665,-87.6666567025346
2018-06-29,780,1,14,156,143,41.8417035850761,-87.67028400752392
2018-06-30,865,1,13,194,142,41.840813673683826,-87.6669696132447
2018-07-01,958,2,39,198,180,41.84104775403045,-87.67163512808816
2018-07-02,859,1,18,164,135,41.83934429100948,-87.66733382546889
2018-07-03,823,0,21,178,123,41.84037501489561,-87.66846937542493
2018-07-04,830,1,9,173,181,41.84290391422953,-87.67532353679495
2018-07-05,839,2,18,199,154,41.842100273641144,-87.67240288877615
2018-07-06,887,0,16,182,117,41.84957009348973,-87.67102452795562
2018-07-07,829,0,6,162,143,41.84308774098785,-87.66889859928587
2018-07-08,821,0,7,188,164,41.843039114721975,-87.672327615417
2018-07-09,801,0,20,146,125,41.8434508462389,-87.67030785297335
2018-07-10,806,1,12,139,124,41.84052291127305,-87.67054418875307
2018-07-11,737,4,16,130,104,41.84210619819201,-87.66904698295893
2018-07-12,798,1,20,139,115,41.846989136952,-87.67110171472223
2018-07-13,816,1,14,139,130,41.84607207586363,-87.66799084038902
2018-07-14,785,0,8,155,135,41.846159001002576,-87.6697623610808
2018-07-15,811,0,14,153,173,41.845138433167335,-87.67060684485911
2018-07-16,777,0,17,143,118,41.83684543175526,-87.66725103308508
2018-07-17,740,1,15,124,116,41.84266346097663,-87.67115745403042
2018-07-18,838,2,24,136,125,41.84167304444364,-87.67007800958038
2018-07-19,778,0,17,127,134,41.84623799821732,-87.66946852371291
2018-07-20,820,1,25,132,118,41.849745519940775,-87.67265742828363
2018-07-21,798,0,9,175,151,41.84858312805051,-87.67065143755819
2018-07-22,794,1,6,145,145,41.83622344613449,-87.66729218205971
2018-07-23,844,1,21,151,137,41.84149077368069,-87.66908911422941
2018-07-24,796,2,21,142,115,41.843861807128675,-87.66775988575537
2018-07-25,801,1,15,170,122,41.84147726419748,-87.66716702941261
2018-07-26,799,0,18,157,104,41.843464901771895,-87.66961098610511
2018-07-27,798,0,11,168,116,41.84067159494713,-87.66902063724554
2018-07-28,805,0,11,169,107,41.84433248033925,-87.66864634055399
2018-07-29,774,0,8,151,162,41.84696885267538,-87.67068071425291
2018-07-30,782,0,17,118,129,41.8456397499637,-87.66898554719717
2018-07-31,827,0,26,148,124,41.84309117005508,-87.66754352722526
2018-08-01,912,0,32,166,136,41.844857651479394,-87.66668652045088
2018-08-02,850,1,19,147,118,41.84293699777107,-87.66617797529541
2018-08-03,891,2,23,151,120,41.84942814222815,-87.66546991606613
2018-08-04,901,1,7,154,146,41.844055090006755,-87.66463872191717
2018-08-05,861,0,13,148,170,41.84760030995327,-87.66805247873444
2018-08-06,801,0,19,143,101,41.84174522219647,-87.66501345286518
2018-08-07,781,0,22,154,120,41.84234453881453,-87.67099803923739
2018-08-08,789,0,16,171,124,41.844272526919326,-87.67049404799354
2018-08-09,768,1,20,133,117,41.844291327617725,-87.66810897351587
2018-08-10,852,0,12,179,117,41.845265203614545,-87.66949528295935
2018-08-11,856,0,8,168,149,41.844300588410505,-87.67141921988613
2018-08-12,836,0,8,172,154,41.838089028158336,-87.66804160371004
2018-08-13,819,2,13,153,132,41.844128232756454,-87.66686795849697
2018-08-14,828,0,14,156,133,41.84461241430647,-87.6698870040696
2018-08-15,796,0,18,153,120,41.83353805139429,-87.66400683667909
2018-08-16,838,0,13,146,139,41.84141780053685,-87.66914274116165
2018-08-17,808,0,15,152,120,41.84192079962028,-87.66822805448612
2018-08-18,908,1,15,208,163,41.84842592458312,-87.67109570803602
2018-08-19,790,0,10,162,154,41.84411361797551,-87.66837273916886
2018-08-20,744,2,26,138,111,41.848926347214544,-87.6716511768061
2018-08-21,720,1,20,139,102,41.84397281612252,-87.66550164804924
2018-08-22,849,0,16,187,113,41.85060102326312,-87.66907407759571
2018-08-23,726,0,11,133,112,41.849688043753794,-87.66991642904833
2018-08-24,786,1,15,164,119,41.850592312400494,-87.67315193005068
2018-08-25,832,0,16,192,127,41.840621203937076,-87.67114070674475
2018-08-26,788,0,4,167,183,41.84302810134877,-87.66938374398453
2018-08-27,820,0,15,169,137,41.84637438208025,-87.66812674740257
2018-08-28,803,0,13,140,129,41.840318019873095,-87.6683599531674
2018-08-29,746,1,15,134,107,41.845962553035655,-87.66672368466305
2018-08-30,815,1,15,187,108,41.84549607791271,-87.66918626146393
2018-08-31,827,4,24,165,105,41.84289965489687,-87.67567985097887
2018-09-01,956,0,49,212,151,41.84797321256179,-87.67310349779328
2018-09-02,822,1,9,210,148,41.84375829240901,-87.66895084117327
2018-09-03,773,0,16,171,162,41.842690530325825,-87.66733644349138
2018-09-04,815,1,13,172,136,41.84048331541901,-87.67105038744171
2018-09-05,717,0,14,146,127,41.84400540173728,-87.67232649989487
2018-09-06,739,0,20,160,111,41.84229315846097,-87.66952142864024
2018-09-07,726,1,11,147,89,41.84623766594683,-87.6670085927721
2018-09-08,789,0,9,165,122,41.854749068000004,-87.67090208546522
2018-09-09,662,0,9,119,124,41.848666141083925,-87.66783663780339
2018-09-10,713,1,23,126,110,41.84313222248996,-87.6678707972134
2018-09-11,689,1,14,146,107,41.845396712286785,-87.66777472228537
2018-09-12,713,1,16,142,102,41.84650318430681,-87.66730627587498
2018-09-13,686,0,15,119,95,41.84934127685421,-87.66924817599859
