date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,bitcoin_close_change,volume_btc,volume_currency,gold_value,gold_change,total_crimes,computer_related,financial_crimes,num_arrests,num_domestic,avg_latitude,avg_longitude
2017-09-07,0.0896569287119791,24146,2795,6628,10600,-0.4048877553070944,0.4431633241388232,16911,4123,4605.81,4674.34,4475.0,4615.0,0.19974814364496216,9254.840000000002,42435329.00000001,1343.5,0.4223193930560365,727,1,16,142,102,41.84303575249517,-87.67016766257973
2017-09-08,0.05369845511046188,28657,5003,7422,12116,-0.3895206433150391,0.43823650941710895,20363,4116,4615.0,4679.97,4125.99,4312.0,-6.565547128927407,23693.3,103569423.20999998,1346.25,0.204689244510603,702,0,21,136,115,41.84081224870446,-87.66786199652078
2017-09-09,0.07060006708487243,19677,3110,4980,7714,-0.3650951437667284,0.4507313426361152,13429,3873,4327.41,4379.78,4164.0,4308.72,-0.07606679035250252,9974.389999999998,42689334.63,1346.25,0.0,733,0,19,150,127,41.846358622565376,-87.6691003323246
2017-09-10,0.08164911227655255,20067,2932,5524,7844,-0.4070649409689103,0.4547742918311704,13605,3767,4322.44,4322.44,4010.0,4226.22,-1.9147217735197453,14724.2,61040452.04999999,1346.25,0.0,739,0,11,141,136,41.8495355766776,-87.67284084322588
2017-09-11,0.045269612251919764,26726,4967,7424,10336,-0.4320832700974005,0.43473866250232623,19721,3999,4226.21,4353.49,4092.4,4207.31,-0.4474447615126498,11191.579999999998,47148979.98,1334.2,-0.8950789229340672,690,0,25,116,94,41.84387087741351,-87.66465187754109
2017-09-12,-0.013692694070891014,33759,8952,8982,11754,-0.4398255342929112,0.4172768043337896,24590,4071,4198.89,4377.65,4080.0,4172.56,-0.8259434175280633,13294.430000000002,56268039.79,1326.5,-0.5771248688352659,724,1,20,139,114,41.84575370664436,-87.67036843432919
2017-09-13,-0.007789342192509063,38161,10416,9526,14225,-0.4320841518660477,0.4384465845206376,26973,3994,4170.6,4179.14,3720.01,3865.34,-7.3628659623828145,29636.369999999984,115516897.1,1327.55,0.07915567282321677,705,2,19,134,93,41.84698854444411,-87.67074649292407
2017-09-14,0.005781951587502193,30574,8344,7841,11492,-0.39700605911287695,0.4308054670622331,21309,2897,3833.39,3899.82,3210.0,3227.79,-16.494021224523593,37269.13999999999,130603805.76999998,1324.55,-0.2259801890700963,734,0,30,126,106,41.84960946576375,-87.66804886842985
2017-09-15,0.02895433467702157,40596,8845,10433,17102,-0.395677549091058,0.43434373408293264,28609,4216,3227.79,3820.0,2972.01,3700.01,14.629824121147905,60278.92000000001,203168386.0,1322.85,-0.1283454758219782,808,0,20,131,112,41.84438381625157,-87.66655416413583
2017-09-16,0.0467583312838647,22763,4421,6620,8523,-0.4113347360035394,0.4206489471870096,16121,3199,3765.08,3872.9,3500.0,3678.93,-0.5697281899238238,21036.76,76942850.52999999,1322.85,0.0,826,0,10,164,121,41.845984051132774,-87.66797757369056
