date,num_crimes,computer_related,num_arrests,num_domestic
2018-09-27,707,1,140,81
2018-09-28,790,1,168,105
2018-09-29,731,0,162,105
2018-09-30,738,0,157,115
2018-10-01,898,1,156,133
2018-10-02,717,2,115,97
2018-10-03,676,0,111,101
2018-10-04,696,2,102,104
2018-10-05,653,1,103,102
2018-10-06,726,0,108,147
2018-10-07,715,0,115,162
2018-10-08,741,0,149,126
2018-10-09,744,0,159,108
2018-10-10,719,0,154,129
2018-10-11,675,0,124,78
2018-10-12,704,0,137,112
2018-10-13,743,0,146,116
2018-10-14,702,0,152,153
2018-10-15,705,0,112,109
2018-10-16,666,0,114,97
2018-10-17,689,0,144,115
2018-10-18,720,0,158,95
2018-10-19,765,0,146,111
2018-10-20,804,1,152,139
2018-10-21,643,0,109,131
2018-10-22,711,0,140,108
2018-10-23,732,0,150,114
2018-10-24,801,0,155,116
2018-10-25,719,0,137,111
2018-10-26,826,0,172,118
2018-10-27,785,0,129,127
2018-10-28,713,0,138,132
2018-10-29,720,1,144,104
2018-10-30,762,1,181,117
2018-10-31,880,1,166,107
2018-11-01,911,1,159,141
2018-11-02,780,1,168,106
2018-11-03,779,0,157,153
2018-11-04,682,1,142,132
2018-11-05,702,0,155,113
2018-11-06,762,0,156,110
2018-11-07,684,0,144,114
2018-11-08,673,0,136,95
2018-11-09,716,0,148,107
2018-11-10,648,0,134,117
2018-11-11,647,0,128,125
2018-11-12,686,0,131,127
2018-11-13,610,0,102,94
2018-11-14,634,1,134,93
2018-11-15,690,0,150,98
2018-11-16,732,0,175,109
2018-11-17,668,0,144,113
2018-11-18,626,0,126,127
2018-11-19,636,0,114,106
2018-11-20,699,1,133,104
2018-11-21,740,2,162,103
2018-11-22,536,0,99,128
2018-11-23,749,0,167,132
2018-11-24,696,0,154,97
2018-11-25,574,0,93,131
2018-11-26,560,0,95,96
2018-11-27,635,1,118,92
2018-11-28,712,0,144,100
2018-11-29,671,1,139,99
2018-11-30,750,0,179,101
2018-12-01,793,0,146,133
2018-12-02,708,0,140,146
2018-12-03,769,0,125,114
2018-12-04,717,0,169,100
2018-12-05,708,0,141,95
2018-12-06,717,1,141,91
2018-12-07,746,0,149,109
2018-12-08,736,0,147,124
2018-12-09,689,0,141,142
2018-12-10,710,0,131,104
2018-12-11,669,0,131,109
2018-12-12,754,0,127,113
2018-12-13,711,0,121,91
2018-12-14,788,0,158,110
2018-12-15,742,1,149,119
2018-12-16,746,1,167,133
2018-12-17,702,0,130,97
2018-12-18,709,1,140,96
2018-12-19,736,0,141,112
2018-12-20,784,0,126,111
2018-12-21,800,0,128,107
2018-12-22,758,0,120,133
2018-12-23,636,0,125,115
2018-12-24,606,1,100,108
2018-12-25,448,1,71,128
2018-12-26,626,0,135,100
2018-12-27,625,1,116,96
2018-12-28,721,0,175,122
2018-12-29,695,0,151,120
2018-12-30,668,0,122,129
2018-12-31,648,0,117,104
2019-01-01,964,1,196,201
2019-01-02,647,2,143,106
2019-01-03,748,0,142,122
2019-01-04,763,0,189,106
2019-01-05,778,0,195,156
2019-01-06,662,0,161,123
2019-01-07,669,0,137,98
2019-01-08,700,0,135,96
2019-01-09,623,0,139,97
2019-01-10,677,1,148,98
2019-01-11,778,2,187,95
2019-01-12,661,1,157,117
2019-01-13,570,0,157,123
2019-01-14,634,0,145,98
2019-01-15,686,0,156,110
2019-01-16,694,0,152,93
2019-01-17,645,0,152,113
2019-01-18,664,0,147,98
2019-01-19,518,1,118,97
2019-01-20,493,0,118,103
2019-01-21,552,0,128,87
