date,compound_score_weighted,total_volume_of_tweets,count_negatives,count_positives,count_neutrals,sent_negatives,sent_positives,count_news,count_bots,open,high,low,close,volume_btc,volume_currency,bitcoin_change
2017-08-22,0.06975687733315199,24890,3743,6659,10303,-0.36395351739609216,0.42195539111699465,17366,4185,3987.51,4139.31,3600.0,4085.0,23522.770000000004,91600325.72999999,2.44462723697938
2017-08-23,0.08281006971368678,23651,3175,6586,9370,-0.36812396245903173,0.4241479410963678,16052,4520,4078.0,4248.97,4051.94,4108.12,14979.400000000001,62117291.57,0.5659730722154199
2017-08-24,0.09857543645344638,25616,3145,7776,10518,-0.3825657892739775,0.4253469065524234,18062,4177,4121.78,4350.0,4082.57,4300.34,10782.709999999997,45174068.68000001,4.679025929135472
2017-08-25,0.09350493619463654,23627,3088,7322,9176,-0.3861386029105218,0.4191738589153144,16270,4041,4308.8,4449.98,4270.0,4355.98,9699.63,42274063.37,1.2938511838598732
2017-08-26,0.10743233529548835,12457,1550,3954,4442,-0.4043937852336124,0.43070672383835956,8258,2511,4332.55,4349.99,4232.43,4333.38,4409.77,18956691.85,-0.5188269918594557
2017-08-27,0.09218217298796856,17896,2010,4657,6346,-0.3886198434895725,0.42545716940922823,12211,4883,4333.38,4393.3,4290.32,4337.68,3979.1099999999997,17263967.21,0.09922970060323166
2017-08-28,0.0809431338380223,20905,2710,5878,8675,-0.38014316322899727,0.4120484729112832,14815,3642,4329.91,4399.72,4169.01,4379.99,8640.999999999998,37077203.39,0.9754062079267989
2017-08-29,0.08279630779723506,24797,3693,6647,10544,-0.33973432067758513,0.44237281926812977,16845,3913,4385.0,4649.78,4336.26,4578.82,11879.64,53491168.430000015,4.539508081068666
2017-08-30,0.07625473649854521,23922,3338,6376,9973,-0.35859310394573735,0.42415873860921655,16149,4235,4578.82,4642.22,4479.0,4573.2,8720.040000000003,39800539.150000006,-0.12273904630449861
2017-08-31,0.09111890516372761,24260,3462,7324,9977,-0.3642599833898948,0.43089177268354995,16101,3497,4573.15,4765.21,4566.66,4734.26,8911.430000000002,41726210.49,3.5218227936674618
2017-09-01,0.09909067055929391,26305,3307,7878,11277,-0.381973082083642,0.4404092123211081,17843,3843,4734.26,4935.0,4671.09,4921.7,15367.539999999999,73889667.51000002,3.9592248841423983
2017-09-02,0.1006179035891833,21463,2448,6082,9404,-0.35123154453304917,0.4404239344545528,14178,3529,4921.71,4979.9,4488.5,4599.9,16977.81,79492706.8,-6.538391206290517
2017-09-03,0.10182719419441011,19058,2425,5690,7486,-0.39164109554452636,0.4462188191514711,13085,3457,4599.9,4700.0,4385.0,4606.26,11224.910000000002,51112035.00000001,0.1382638753016474
2017-09-04,0.03846105767045756,26231,4633,6990,10918,-0.4411944285405373,0.4253198892013903,18409,3690,4603.68,4613.97,4058.5,4277.0,25069.129999999994,107792606.92,-7.148098457316787
2017-09-05,0.0523262169895372,27648,4765,7417,11856,-0.43649417498554177,0.4504321619177207,20009,3610,4282.53,4474.88,4001.93,4396.52,20884.22,88444473.14000002,2.7944821136310694
2017-09-06,0.07078108701938468,27563,3633,6849,11580,-0.41282889568567205,0.4490701575385521,19864,5501,4397.38,4649.23,4356.42,4605.8,16634.100000000002,75306805.39,4.760128465240676
2017-09-07,0.0896569287119791,24146,2795,6628,10600,-0.4048877553070944,0.44316332413882314,16911,4123,4605.81,4674.34,4475.0,4615.0,9254.840000000002,42435329.00000001,0.19974814364496218
2017-09-08,0.05369845511046188,28657,5003,7422,12116,-0.3895206433150391,0.43823650941710895,20363,4116,4615.0,4679.97,4125.99,4312.0,23693.3,103569423.20999998,-6.565547128927407
2017-09-09,0.07060006708487242,19677,3110,4980,7714,-0.3650951437667284,0.4507313426361152,13429,3873,4327.41,4379.78,4164.0,4308.72,9974.389999999998,42689334.629999995,-0.07606679035250252
2017-09-10,0.08164911227655255,20067,2932,5524,7844,-0.40706494096891027,0.45477429183117035,13605,3767,4322.44,4322.44,4010.0,4226.22,14724.2,61040452.04999999,-1.9147217735197453
2017-09-11,0.045269612251919764,26726,4967,7424,10336,-0.4320832700974005,0.43473866250232623,19721,3999,4226.21,4353.49,4092.4,4207.31,11191.579999999998,47148979.980000004,-0.4474447615126498
2017-09-12,-0.013692694070891014,33759,8952,8982,11754,-0.43982553429291116,0.41727680433378955,24590,4071,4198.89,4377.65,4080.0,4172.56,13294.430000000002,56268039.79,-0.8259434175280633
2017-09-13,-0.007789342192509062,38161,10416,9526,14225,-0.43208415186604765,0.4384465845206376,26973,3994,4170.6,4179.14,3720.01,3865.34,29636.369999999988,115516897.10000001,-7.3628659623828145
2017-09-14,0.005781951587502193,30574,8344,7841,11492,-0.39700605911287695,0.4308054670622331,21309,2897,3833.39,3899.82,3210.0,3227.79,37269.13999999999,130603805.76999998,-16.494021224523593
2017-09-15,0.02895433467702157,40596,8845,10433,17102,-0.395677549091058,0.43434373408293264,28609,4216,3227.79,3820.0,2972.01,3700.01,60278.920000000006,203168385.99999997,14.629824121147905
2017-09-16,0.0467583312838647,22763,4421,6620,8523,-0.4113347360035394,0.4206489471870096,16121,3199,3765.08,3872.9,3500.0,3678.93,21036.76,76942850.52999999,-0.5697281899238238
2017-09-17,0.07480974188000557,23632,3867,7297,8850,-0.40331956155372395,0.41910340965668724,16806,3618,3669.07,3772.52,3463.0,3662.99,11770.210000000001,42657776.550000004,-0.43327815424594185
2017-09-18,0.048586433362834476,32739,6659,9438,12783,-0.38256322366775247,0.4123956233150923,23998,3859,3662.95,4122.7,3659.42,4101.6,17207.569999999996,67988469.48,11.97409766338431
2017-09-19,0.04832149158628558,31680,5865,8579,13552,-0.39282049407617764,0.42797536876955095,23963,3684,4102.0,4119.7,3848.35,3888.8,15278.960000000003,60404491.58000002,-5.188219231519408
2017-09-20,0.08137446076398278,28018,4652,8547,11023,-0.3889858289336741,0.4384448401928777,20550,3796,3888.8,4050.0,3820.56,3874.46,11660.28,45847238.86,-0.36875128574367366
2017-09-21,0.03397925244638225,27583,5604,7736,10840,-0.45423087039641014,0.4448107524458424,20329,3403,3864.0,3914.0,3573.0,3617.05,17904.32,67012342.18000001,-6.643764550414765
2017-09-22,0.05217099537925789,27340,4600,7564,11550,-0.4294298619732666,0.4269240749245411,19915,3626,3607.83,3761.84,3514.0,3612.18,15007.749999999998,54271184.8,-0.13464010726974562
2017-09-23,0.08392478532873361,8492,1406,2766,3229,-0.4289554027443647,0.44464706064552867,6180,1091,3757.11,3783.25,3698.19,3779.17,3440.9799999999996,12886444.05,4.6229700624
2017-09-24,0.11199392010090789,11374,1571,3676,4395,-0.366098343274715,0.44827134624294934,8408,1732,3648.03,3735.17,3630.0,3664.22,3162.9,11659537.140000002,-3.04167317162235
2017-09-25,0.10543634806434489,23442,2638,7357,9885,-0.4023600929802602,0.43263589468115854,16943,3562,3667.01,3968.59,3658.39,3918.0,14979.77,57632408.089999996,6.925894187576076
2017-09-26,0.0789242653872577,26103,3631,7735,11108,-0.4202570052203574,0.4244566920957371,18967,3629,3920.66,3970.0,3850.61,3888.03,10014.639999999998,39220959.690000005,-0.7649310872894333
2017-09-27,0.08113553797191901,29421,4141,8872,12450,-0.4061795776151085,0.42198257585543625,21383,3958,3883.95,4226.73,3870.0,4199.29,15075.819999999996,61255648.55000002,8.005596664634783
2017-09-28,0.08574424595297053,27561,4092,8270,11522,-0.39556756461255965,0.4405028754347862,19623,3677,4202.34,4270.01,4123.5,4184.84,9625.929999999998,40309035.76000001,-0.3441057893119992
2017-09-29,0.07137109752084393,28839,4990,8631,11416,-0.42694258572215965,0.4503144356893229,20881,3802,4183.47,4227.62,4022.02,4164.82,12191.9,50336312.66,-0.4783934391757061
2017-09-30,0.08955795758904228,21617,2861,5951,8402,-0.4006233691746477,0.4529466593474803,15010,4403,4162.04,4349.0,4154.28,4326.09,7496.79,32073448.82,3.872196157336938
2017-10-01,0.09614388848805931,22646,3083,6766,9117,-0.41036940586340664,0.45386458962934456,14960,3680,4326.09,4377.22,4216.0,4377.22,7211.34,30871704.81,1.1818986660009356
2017-10-02,0.0742136755341497,32289,3757,7871,13939,-0.3995811374898817,0.4272720414493565,24771,6722,4369.33,4453.0,4352.0,4391.48,8259.840000000002,36293751.010000005,0.32577754830689365
2017-10-03,0.08827827187108206,27828,3164,7502,12078,-0.38447439440490244,0.42397513938775483,20662,5084,4391.41,4425.0,4218.0,4315.83,12468.069999999998,53551605.470000006,-1.7226538661225699
2017-10-04,0.06218192172333061,29299,4388,7156,11259,-0.39850953167302533,0.44510526142374934,21929,6496,4315.73,4343.0,4170.07,4219.53,8519.010000000002,36068254.919999994,-2.231320510770818
2017-10-05,0.06791464599040775,26299,4349,7463,10839,-0.3951231052584656,0.4396818691135243,18269,3648,4219.74,4358.97,4137.96,4301.09,8419.97,35912272.84,1.9329166992532398
2017-10-06,0.07999125819135472,3143,445,974,1258,-0.371773488836832,0.40857306582997677,2205,466,4338.0,4375.0,4321.82,4362.95,607.36,2640369.84,1.4382400740277301
2017-10-07,0.10372224249117955,2513,304,750,1033,-0.36492319769119774,0.4382920931937734,1760,426,4334.64,4463.0,4327.41,4423.3,1975.6999999999998,8716496.85,1.3832384052074875
2017-10-08,0.07199982188415577,20808,2971,5630,8686,-0.43254077762322524,0.45328145540151654,14267,3521,4422.72,4612.0,4404.5,4597.98,10083.86,45490443.57,3.9490877851377837
2017-10-09,0.0516616798818013,30890,5910,8741,12231,-0.395105703752375,0.41935159501140856,22410,4008,4597.97,4865.0,4541.0,4764.7,12923.65,60473207.320000015,3.6259400867337366
2017-10-10,0.019387876764854466,30792,6736,8365,11909,-0.4384192895570263,0.42332057027999664,22274,3782,4761.67,4909.97,4700.0,4749.29,11666.039999999999,56088789.38000001,-0.3234201523705571
2017-10-11,0.07089153729156097,28834,4145,8514,12114,-0.40594257987098703,0.4083806402065459,20906,4061,4747.9,4869.78,4700.0,4822.01,9866.92,47256315.43,1.5311762389746741
2017-10-12,0.07359192933828214,43836,6122,12448,20902,-0.3850567629930093,0.41668464748830064,30621,4364,4822.01,5445.0,4793.66,5445.0,19916.22,102559923.25000001,12.919716052019803
2017-10-13,0.08875354613749487,42749,6106,13228,19252,-0.3578315021900051,0.42516838618844505,29633,4163,5444.0,5846.43,5380.0,5653.6,27827.379999999994,155848051.88000005,3.831037649219482
2017-10-14,0.08715172697468447,28126,4212,8507,11465,-0.3775708835897405,0.4367159635310813,19587,3942,5653.58,5817.34,5558.26,5801.29,8410.949999999999,47779356.46000001,2.612317815197396
2017-10-15,0.09381148479183063,26027,3806,7763,10472,-0.3510939904963175,0.439606233975524,17716,3986,5795.01,5830.0,5415.0,5679.7,11542.950000000003,64464008.42000001,-2.0959131503510475
2017-10-16,0.11244543221152176,32320,4336,10291,13576,-0.3582096379944346,0.4532115181585732,23546,4117,5683.92,5807.11,5548.0,5745.72,9066.81,51508749.099999994,1.1623853372537463
2017-10-17,0.06470091939526364,30497,5518,8797,11778,-0.3660543962673859,0.42831745756990686,21827,4404,5752.2,5776.31,5506.78,5597.31,9105.29,51035573.55000001,-2.5829661034648344
2017-10-18,0.08689169281229982,28147,4272,8656,11082,-0.38935332823136687,0.4336261336637685,19790,4137,5591.97,5617.75,5101.36,5582.05,18961.700000000004,101657249.60999998,-0.27263096022911437
2017-10-19,0.089464145232634,29935,3815,8468,13468,-0.3999206444224816,0.4509825653165753,21933,4184,5572.64,5735.14,5512.06,5698.69,9919.819999999998,56087316.59,2.089554912621705
2017-10-20,0.07092890346492134,35962,5728,10276,16256,-0.37599864893322593,0.43207962756437746,24632,3702,5700.0,6074.0,5589.8,5977.29,15109.050000000001,89014299.88999999,4.888842874415
2017-10-21,0.0707955637910022,30505,5218,9368,12170,-0.3891501885000294,0.4217617677473544,20892,3749,5977.26,6180.0,5871.0,6013.46,15357.450000000003,92912504.81000002,0.6051237266386567
2017-10-22,0.10906312761132261,22286,2741,7319,8967,-0.3760685773487466,0.42372797656695543,15577,3259,5944.94,6039.79,5700.0,5969.0,11329.539999999999,66503159.08000001,-0.7393414107685126
2017-10-23,0.07979005046031322,35575,5334,9980,15650,-0.34541510945556314,0.4343984697585561,25205,4611,5967.38,6045.34,5617.75,5871.17,15331.619999999997,89530043.14999999,-1.6389680013402574
2017-10-24,0.05020486252166777,37368,6772,10702,15892,-0.3922042174887759,0.41025893381672884,27242,4002,5869.82,5870.0,5453.01,5523.4,17286.739999999998,97560230.22,-5.923350882362466
2017-10-25,0.07247332112297797,33150,5900,9947,13172,-0.38077693337011476,0.43462068038941676,23680,4131,5518.49,5748.0,5366.0,5735.88,12349.119999999997,68370411.15,3.8469058912988574
2017-10-26,0.08572928897607597,30772,5210,9857,12067,-0.3716219842910957,0.43727452557941354,22030,3638,5741.35,5988.0,5683.0,5890.0,11788.29,69079451.8,2.6869460309490334
2017-10-27,0.07600248156762197,28351,4926,8483,10936,-0.3650308964532551,0.4348096141930005,20108,4006,5889.99,5994.06,5674.06,5771.89,11911.050000000001,69053794.44,-2.005263157894732
